Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
MBD3 human tf ARCHS4 coexpression,214/299,4.657459455908386e-92,8.029460101986059e-89,0,0,11.947259533734751,2512.50101502613,RRP1;ZDHHC8;RPL8;NOC2L;CAPN15;FGFRL1;RPS6KA4;RAVER1;TRIM28;PSMD3;AKT1;PIEZO1;PAQR4;DAPK3;GTPBP6;AP1B1;PTOV1;SCRIB;CSNK1E;HCFC1;RNF126;CDC34;WDR81;CDC37;TTLL12;PRR12;RPL28;LLGL1;TELO2;RABL6;PPP1R37;TBC1D9B;TRMT2A;AGAP3;MRPL12;RHOT2;ZNF703;DHX37;PRR22;CDT1;INTS1;XRCC3;IRF2BP1;PRRC2A;HNRNPL;GIPC1;TRIP6;DUS1L;SLC2A4RG;CDK16;OGFR;DAZAP1;SMG5;RPTOR;SMPD4;FASTK;KIF1C;NELFB;CIC;EMD;GIT1;UPF1;LRRC45;CLUH;PRMT1;SREBF2;NCOR2;INF2;RPUSD1;INCENP;CDC42EP1;PGAM5;ZNF598;SZRD1;TOMM40;PKN3;DOT1L;SRRT;RFNG;CENPB;RECQL4;HIRA;PES1;MICALL1;HSF1;ANKRD52;SF3A2;TMUB1;AP3D1;KIAA2013;SCAF1;GATAD2A;SKI;XAB2;BOP1;MYBBP1A;TAOK2;PNPLA6;MEGF8;ATN1;SYDE1;STK11;KHSRP;ARHGDIA;LZTS2;SH3GL1;MEN1;FBXW5;USP5;ATAD3B;ATAD3A;RNF40;CTDNEP1;ACAP3;ILF3;MAP7D1;RAB35;ERF;SLC27A4;ANAPC2;INO80E;KMT2B;KLHL17;CORO1B;BAG6;NDOR1;KLC2;IRAK1;NACC1;DVL1;ZNF787;ESRRA;CPSF1;SLC52A2;CHERP;LRFN4;SH3BP5L;UBE2S;STK25;GNB2;PLEKHM2;UBA1;ZNF777;TCF3;RNF187;UBE2M;EIF4G1;MXD4;ZNF512B;KDM5C;ZMYND19;PRKCSH;PTPN23;CHTF18;LMNB2;PPP1R9B;PTBP1;SART1;ZC3H7B;PPP6R1;SNAPC4;CEP170B;ZNF768;WDR5;UBTF;MYBL2;TNPO2;PELP1;SCYL1;REXO1;AXIN1;DDX54;RANGAP1;KLF16;ARFGAP1;EPN1;TRAF7;SAPCD2;CPTP;AKT1S1;SLC25A10;THOP1;PPP1R12C;GTF3C1;RAB1B;SRF;WIZ;LRP3;MLLT1;LMF2;USP19;REPIN1;DCAF15;FZR1;NCLN;MTA1;U2AF2;POLD1;E2F1;ZNF865;PPP1R14B;ATP13A1;FBXL19;SGTA;USF2;CLCN7;PFKL;ABHD17A;CARM1;EIF3G;RBM42;STUB1;TRMT61A;BCAR1,ARCHS4_TFs_Coexp
MRPL28 human tf ARCHS4 coexpression,212/299,6.409499012402338e-90,5.5249881486908144e-87,0,0,11.555359015333488,2373.1804394552228,SMARCB1;POP7;RNH1;RRP1;KEAP1;RPL8;NOC2L;RRP9;NUBP2;CDC20;COMTD1;PSMD4;TRIM28;PSMD2;PSMD3;AP1S1;ARL6IP4;IFRD2;ARMC6;SCO2;THAP7;GRWD1;CLPP;CDC37;CSNK2B;UQCRC1;CCDC86;TTLL12;RPL29;PFN1;AURKAIP1;DUS3L;TELO2;TMEM161A;CDCA4;OAZ1;C7ORF50;RHOT2;PPP4C;SNX8;CDT1;PRELID1;SIVA1;IRF2BP1;C20ORF27;PA2G4;TBL3;EIF6;TRIP6;RNPS1;FARSA;CD320;ARF1;FEN1;MRPS12;CCDC124;MRPL38;CLTA;MRPL41;GUK1;FASTK;DGCR6L;RAC3;NELFB;TK1;EMD;CCT3;LYPLA2;PRMT5;NUDC;SEC13;TNFRSF12A;PRMT1;ZDHHC12;NME3;MRPS2;NME4;JOSD2;KIF22;TUBG1;MLF2;APRT;CTU2;RPUSD1;ALDOA;TKT;SF3B4;SZRD1;ECHS1;AHCY;TOMM40;SSNA1;GPS1;TSR3;MRPS34;PSMA7;RECQL4;EXOSC4;PES1;SCAND1;RPL18;UBL4A;MBD3;RANBP1;MTX1;MDH2;MCRS1;WDR18;TMUB1;TUBB4B;TARBP2;YIF1B;PPP1CA;MAD2L2;XAB2;BOP1;MYBBP1A;PRPF31;MPG;IPO4;CHCHD2;TMEM147;ARHGDIA;CFL1;PMPCA;USP5;AIP;ATAD3A;TUFM;DPM2;BRMS1;MRTO4;NHP2;SNRPB;NDUFB10;RPS19BP1;MAZ;PKMYT1;HSPBP1;CORO1B;NME1-NME2;STIP1;DPP7;IRAK1;NACC1;CYC1;NDUFV1;ISOC2;SLC52A2;LSM4;DRAP1;UBE2S;REEP4;GNB2;UBA1;SAE1;COPE;UBE2M;GALK1;SLC25A1;MRPL4;PTBP1;MFSD3;MLST8;WDR5;HMG20B;MYBL2;RFC2;DCXR;DDX56;DDX54;EDF1;YDJC;KLF16;ARFGAP1;TRAF7;NDUFS8;NDUFS6;AKT1S1;SLC25A10;THOP1;SLC25A11;BCAT2;MCM2;SLC25A6;SMARCD2;NDUFB7;TSSC4;RAB1B;LAGE3;HSD17B10;TFPT;NCLN;PUF60;CCDC85B;U2AF2;POLD1;POLD2;POLR2E;RALY;BAK1;GADD45GIP1;PPP1R14B;NAA10;ADRM1;SGTA;GFER;BCKDK;EIF3G;RBM42;STUB1;TRMT61A,ARCHS4_TFs_Coexp
THAP7 human tf ARCHS4 coexpression,206/299,1.1285819283254338e-83,6.485584148110158e-81,0,0,10.48170916747226,2001.9393764816089,SMARCB1;POP7;RNH1;ECI1;RRP1;RPL8;NOC2L;NUBP2;RPS15;COMTD1;OGFOD2;PSMD3;ARL6IP4;ABT1;JMJD4;PAQR4;IFRD2;MIF;GCAT;SIGIRR;RNF126;ARMC6;SCO2;GRWD1;CDC37;CSNK2B;CCDC86;JTB;AURKAIP1;DUS3L;TMEM161A;CDCA4;PPP1R35;TRMT2A;MRPL12;OAZ1;C7ORF50;RHOT2;PPP4C;RCE1;PUSL1;CDT1;PRELID1;SIVA1;NCAPH2;C20ORF27;MRPL28;PA2G4;UBAC1;TBL3;DUS1L;FARSA;CD320;ARF1;FEN1;MRPS12;CCDC124;MRPL38;MED16;MED15;MRPL41;GUK1;FASTK;DGCR6L;RAC3;TSPO;NELFB;TK1;EMD;NUDC;MRPS26;NSUN5;PRMT1;ZDHHC12;MRPS2;NME4;JOSD2;KIF22;APRT;MZT2B;CTU2;RPUSD1;SDHAF1;SF3B4;ZNF593;TOMM40;SSNA1;GPS1;MRPS34;NOC4L;TYMS;COX5A;PSMA7;EXOSC4;PES1;PRAME;SCAND1;RPS2;RPL18;UBL4A;MBD3;EGLN2;CDKN2A;MDH2;WDR18;NR1H2;TMUB1;YIF1B;PPP1CA;MAD2L2;BOP1;NUDT8;MYBBP1A;PRPF31;NDUFA11;AKR7A2;CHCHD2;RUVBL2;CFL1;MACROD1;FBXW5;ATAD3A;TUFM;BRMS1;MRTO4;SNRPB;RNASEH2C;RNASEH2A;NDUFB10;RPS19BP1;PKMYT1;HSPBP1;DPP7;AMDHD2;THEM6;CYC1;NDUFV1;ISOC2;SDF2L1;IDH2;TRAPPC5;LSM4;UBE2S;PIN1;COPE;PHF19;GALK1;SLC25A1;NXT1;MCM7;MRPL4;PTBP1;MRPL2;NAPRT;PRADC1;MLST8;ZNF768;HMG20B;SCYL1;RBM14;RFC2;DCXR;SIGMAR1;DDX56;DDX54;RAD23A;YDJC;NDUFS8;EEF1D;NDUFS6;BLVRB;DNAJC9;GNB1L;SLC25A10;THOP1;BCAT2;MCM2;TRABD;SNAP47;TSSC4;LAGE3;HSD17B10;TBRG4;TFPT;NCLN;CDC45;PUF60;CCDC85B;POLD1;POLD2;MVB12A;EIF4H;POLR2E;RALY;POLR2J;POLR2L;GADD45GIP1;PPP1R14B;NAA10;ADRM1;SGTA;RPS6KB2;EIF3G;RBM42;STUB1;TRMT61A,ARCHS4_TFs_Coexp
DUS3L human tf ARCHS4 coexpression,204/299,1.1990077225125326e-81,5.167723284029016e-79,0,0,10.154261489723146,1892.0222013127227,RNH1;HDAC10;RRP1;KEAP1;HGH1;RPL8;NOC2L;CAPN15;RRP9;RPS6KA4;RAVER1;TRIM28;PSMD3;ARL6IP4;JMJD4;IFRD2;CLEC11A;GTPBP6;TALDO1;MFSD10;RNF126;DDX39A;ARMC5;ARMC6;EWSR1;THAP7;GRWD1;CDC37;CCDC86;JTB;TTLL12;RPL29;PFN1;AURKAIP1;TELO2;PPP1R35;TRMT2A;AKAP17A;MRPL12;OAZ1;RHOT2;PPP4C;DHX37;PRR22;CDT1;PRELID1;INTS1;NCAPH2;XRCC3;IRF2BP1;C20ORF27;MRPL28;PA2G4;HNRNPL;TBL3;LAS1L;RNPS1;DUS1L;FARSA;RNF220;DAZAP1;CCDC124;MRPL38;LIMD2;SMPD4;FASTK;NELFB;EMD;NUDC;CLUH;PRMT1;MRPS2;KIF22;APRT;CTU2;RPUSD1;ZNF598;SF3B4;TOMM40;TP53I13;AP5Z1;PKN3;SSNA1;GPS1;MRPS34;SRRT;NOC4L;RECQL4;EXOSC4;SLC17A9;PES1;HSF1;SCAND1;RPS2;RPL18;CENPT;MBD3;RANBP1;SF3A2;WDR18;NR1H2;TMUB1;DOHH;NLE1;PPP1CA;SPSB3;XAB2;BOP1;MYBBP1A;SHKBP1;PRPF31;MPG;IPO4;KHSRP;ARHGDIA;CFL1;PIM3;MEN1;USP5;CYBA;ATAD3A;RNF40;TUFM;ILF3;PRPF6;MAPKAPK3;MAD1L1;SNRPB;ANAPC2;ZNF672;INO80E;MAZ;PKMYT1;NDOR1;DPP7;SHARPIN;IRAK1;E4F1;ZNF787;CYC1;NDUFV1;ISOC2;PPAN-P2RY11;CPSF1;SLC52A2;IDH2;LSM4;CHERP;DRAP1;UBE2S;REEP4;SKIV2L;CNTROB;COPE;MCM7;CHTF18;LMNB2;MRPL4;PTBP1;SART1;PPP6R1;NAPRT;MLST8;WDR5;HMG20B;RBM14;REXO1;DDX56;DDX54;YDJC;KLF16;EEF1D;MCM5;SLC25A10;THOP1;MCM2;SLC25A6;TRABD;SMARCD2;TSSC4;LAGE3;CLN6;DCAF15;NCLN;VPS51;PUF60;CCDC85B;U2AF2;POLD1;POLD2;E2F1;POLR2E;RALY;E2F4;GADD45GIP1;ATP13A1;ADRM1;SGTA;BCKDK;CLCN7;PFKL;EIF3G;STUB1;TRMT61A,ARCHS4_TFs_Coexp
SNAPC4 human tf ARCHS4 coexpression,202/299,1.1962834979853604e-79,3.4373212508779352e-77,0,0,9.840462344619311,1788.2580459546916,MDC1;HDAC10;TRRAP;RRP1;TONSL;ZDHHC8;NOC2L;RPS6KA4;RAVER1;TRIM28;PSMD3;AKT1;PIEZO1;DDX11;GTPBP6;AP1B1;SCRIB;HCFC1;RNF126;CDC37;ULK1;TTLL12;PRR12;TELO2;RABL6;SF1;POM121;TBC1D9B;SRCAP;TRMT2A;RHOT2;DHX34;DHX37;PLCG1;PRR22;RTEL1-TNFRSF6B;INTS1;XRCC3;IRF2BP1;PRRC2B;SMARCA4;PRRC2A;HNRNPL;FASN;DUS1L;FBXL6;OGFR;DAZAP1;MED15;SMG5;RPTOR;SMPD4;FASTK;NELFB;CIC;EMD;GIT1;UPF1;BRD2;SREBF1;LRRC45;CLUH;SREBF2;NCOR2;GAK;KAT2A;MED25;KIFC2;RPUSD1;INCENP;KIFC1;ZNF598;LRRC14;TOMM40;PKN3;DOT1L;SRRT;RECQL4;HIRA;PES1;HSF1;ANKRD52;SAMD1;MBD3;SF3A2;AP3D1;SCAF1;GATAD2A;SKI;XAB2;BOP1;MYBBP1A;TAOK2;NUP188;ATN1;IPO4;STK11;EME2;KHSRP;ARHGDIA;MEN1;ATAD3B;ATAD3A;RNF40;ACAP3;ILF3;RAB35;ERF;ANAPC2;INO80E;MAZ;KMT2B;KLHL17;NOP9;BAG6;RAI1;NDOR1;KLC2;IRAK1;NACC1;DVL1;E4F1;ZNF787;NOP14;PPAN-P2RY11;CPSF1;FANCA;CHERP;LRFN4;GNB2;CNOT3;TUBGCP6;UBA1;ZNF777;TCF3;UBE2M;EIF4G1;ZNF512B;DIDO1;KDM5C;ZMYND19;PRKCSH;PTPN23;CHTF18;LMNB2;PPP1R9B;CABIN1;PTBP1;PIDD1;SART1;SIN3B;ZC3H7B;PPP6R1;CEP170B;ZNF768;WDR5;UBTF;MYBL2;TNPO2;POLE;PELP1;SCYL1;REXO1;CAD;AXIN1;DDX54;KLF16;ARFGAP1;REXO4;GIGYF1;TRAF7;AKT1S1;SLC25A10;THOP1;PPP1R12C;GTF3C1;TRABD;SMARCD2;SRF;WIZ;LMF2;USP19;REPIN1;DCAF15;FZR1;TMEM201;NCLN;MTA1;TAF1C;U2AF2;POLD1;ZNF865;FBRS;SH2B1;ATP13A1;FBXL19;HAGHL;USF2;CLCN7;PFKL;MCM3AP;CARM1,ARCHS4_TFs_Coexp
HSF1 human tf ARCHS4 coexpression,202/299,1.1962834979853604e-79,3.4373212508779352e-77,0,0,9.840462344619311,1788.2580459546916,RNH1;HDAC10;KEAP1;ZDHHC8;RPL8;NOC2L;ELK1;CAPN15;FGFRL1;RPS6KA4;RAVER1;TRIM28;PSMD3;AKT1;PIEZO1;ARL6IP4;IFRD2;DAPK3;GTPBP6;AP1B1;SCRIB;ACTN4;MFSD10;HCFC1;RNF126;CDC37;TTLL12;PRR12;TELO2;RABL6;TBC1D9B;MAPKAP1;TRMT2A;MRPL12;RHOT2;PPP4C;PRELID1;INTS1;IRF2BP1;PRRC2A;HNRNPL;TBL3;DUS1L;SLC2A4RG;CDK16;FBXL6;OGFR;DAZAP1;GPAA1;MED15;SMG5;RPTOR;SMPD4;FASTK;NELFB;CIC;EMD;UPF1;SREBF1;LRRC45;CLUH;PRMT1;NCOR2;GAK;MED25;INF2;RPUSD1;CDC42EP1;ZNF598;SF3B4;LRRC14;SZRD1;TOMM40;SRRT;CENPB;RELA;RECQL4;PES1;ANKRD52;MBD3;SF3A2;TMUB1;SCAF1;RAB11B;XAB2;MYBBP1A;TAOK2;PNPLA6;STK11;KHSRP;ARHGDIA;MACROD1;CAPN1;LZTS2;MEN1;FBXW5;USP5;PPP1R16A;ATAD3A;RNF40;TUFM;CTDNEP1;MAP7D1;RAB35;ERF;ANAPC2;INO80E;RAB5C;MAZ;KMT2B;KLHL17;CORO1B;BAG6;RAI1;SBNO2;NDOR1;KLC2;DPP7;IRAK1;NACC1;DVL1;ZNF787;THEM6;CYC1;NDUFV1;BCL9L;ISOC2;ESRRA;CPSF1;SLC52A2;CHERP;DRAP1;LRFN4;GNB2;CNOT3;PLEKHM2;MAFK;COPE;UBE2M;EIF4G1;KDM5C;PRKCSH;ZC3H3;PTPN23;CHTF18;MRPL4;PTBP1;SART1;SEC61A1;PPP6R1;CEP170B;ZNF768;HMG20B;SCYL1;REXO1;DDX54;RAD23A;KLF16;ARFGAP1;TRAF7;EEF1D;CPTP;AKT1S1;SLC25A10;THOP1;PPP1R12C;PLEC;TRABD;SMARCD2;RAB1B;WIZ;LMF2;USP19;REPIN1;DCAF15;FZR1;NCLN;MTA1;VPS51;TAF1C;U2AF2;POLD1;EIF4H;RALY;ZNF865;FBRS;PPP1R14B;ATP13A1;FBXL19;ADRM1;SGTA;USF2;CLCN7;PFKL;CARM1;TSPAN17;EIF3G;RBM42;STUB1;TRMT61A;BCAR1;SSBP4,ARCHS4_TFs_Coexp
TRMT1 human tf ARCHS4 coexpression,201/299,1.1673553191832858e-78,2.8750293861028354e-76,0,0,9.688419760699166,1738.556857797412,SMARCB1;HDAC10;KEAP1;RPL8;NOC2L;ELK1;CAPN15;RRP9;RPS6KA4;RAVER1;TRIM28;PSMD3;PIEZO1;ARL6IP4;IFRD2;DDX11;GTPBP6;AP1B1;SCRIB;SND1;MFSD10;RNF126;DDX39A;ARMC6;GRWD1;CDC37;CCDC86;JTB;TTLL12;RPL29;AURKAIP1;DUS3L;TELO2;SF1;TRMT2A;AKAP17A;MRPL12;OAZ1;RHOT2;PPP4C;PDCD11;DHX34;DHX37;RRS1;PRELID1;INTS1;IRF2BP1;C20ORF27;MRPL28;PA2G4;HNRNPL;TBL3;RNPS1;DUS1L;FARSA;CD320;DAZAP1;CCDC124;MRPL38;SMG5;SMPD4;FASTK;NELFB;EMD;NUDC;CLUH;PRMT1;MRPS2;NME4;APRT;CTU2;KAT2A;RPUSD1;TKT;ZNF598;SF3B4;SZRD1;TOMM40;PKN3;MRPS34;SRRT;TMEM160;RECQL4;SLC17A9;PES1;HSF1;SUSD3;SCAND1;RPS2;RPL18;MBD3;RANBP1;SF3A2;WDR18;TMUB1;DOHH;SCAF1;XAB2;BOP1;MYBBP1A;TACC3;ZNF692;NUP188;JADE2;IPO4;KHSRP;ARHGDIA;PMPCA;PIM3;MEN1;RPS9;USP5;CYBA;ATAD3B;ATAD3A;RNF40;TUFM;CTDNEP1;ILF3;GEMIN4;PGP;SNRPB;ANAPC2;INO80E;MAZ;KLHL17;NOP2;NOP9;NDOR1;DPP7;IRAK1;NACC1;ZNF787;CYC1;NDUFV1;NOP14;CPSF1;LSM4;CHERP;DRAP1;LRFN4;COPE;UBE2M;EIF4G1;KDM5C;MCM7;PRKCSH;CHTF18;LMNB2;MRPL4;PTBP1;SART1;PPP6R1;NAPRT;WDR5;UBTF;HMG20B;RBM14;REXO1;DDX56;CAD;AXIN1;DDX54;KLF16;ARFGAP1;TRAF7;SARS2;EEF1D;TRAF6;SLC25A10;THOP1;MCM2;SLC25A6;TRABD;CXXC1;LMF2;USP19;DCAF15;NCLN;MTA1;TAF1C;U2AF2;POLD1;POLD2;EIF4H;POLR2E;RALY;E2F4;PPP1R14B;ATP13A1;ADRM1;SGTA;BCKDK;CLCN7;PFKL;EIF3G;RBM42;DRG2;STUB1;EIF3C;TRMT61A,ARCHS4_TFs_Coexp
RBM10 human tf ARCHS4 coexpression,199/299,1.0613067033779919e-76,2.287115945779573e-74,0,0,9.393562717770036,1643.281363464362,SMARCB1;EHMT2;RPL8;NOC2L;ELK1;CAPN15;RAVER1;TRIM28;PSMD3;AKT1;AP1B1;PTOV1;SCRIB;CSNK1E;SND1;HCFC1;RNF126;CDC34;CDC37;TTLL12;PRR12;RPL28;LLGL1;TELO2;RABL6;SF1;POM121;TRMT2A;RHOT2;POM121C;DHX34;DHX37;INTS1;XRCC3;IRF2BP1;PRRC2B;SMARCA4;PRRC2A;HNRNPL;DUS1L;FARSA;CDK16;OGFR;DAZAP1;MED16;SMG5;MED12;SMPD4;FASTK;RAC3;NELFB;CIC;EMD;UPF1;LRRC45;CLUH;PRMT1;MRPS2;SREBF2;MED25;RPUSD1;INCENP;KIFC1;TKT;ZNF598;SF3B4;SZRD1;AHCY;TOMM40;GPS1;DOT1L;SRRT;RECQL4;HIRA;PES1;HSF1;ANKRD52;RPS2;RPL18;MBD3;SF3A1;SF3A2;TMUB1;AP3D1;SCAF1;GATAD2A;XAB2;BOP1;MYBBP1A;TAOK2;NCAPD2;NUP188;ATN1;IPO4;KHSRP;ARHGDIA;SH3GL1;MEN1;RPS9;USP5;CEP131;ATAD3A;RNF40;TUFM;ILF3;PRPF6;RAB35;ERF;SNRPB;ANAPC2;INO80E;MAZ;KMT2B;KLHL17;PKMYT1;BAG6;STIP1;NDOR1;IRAK1;NACC1;DVL2;ZNF787;NOP14;CPSF1;LSM4;CHERP;LRFN4;UBE2S;GNB2;CNOT3;UBA1;SKIV2L;TCF3;TAB1;UBE2M;EIF4G1;KDM5C;MCM7;PRKCSH;CHD4;CHTF18;LMNB2;CABIN1;LMNB1;PTBP1;SART1;ZC3H7B;PPP6R1;SNAPC4;ZNF768;WDR5;UBTF;MYBL2;POLE;PELP1;SCYL1;UNC45A;RBM14;REXO1;CAD;AXIN1;DDX54;ARFGAP1;GIGYF1;TRAF7;EEF1D;SLC25A10;THOP1;MCM2;SLC25A6;GTF3C1;TRABD;SMARCD2;RAB1B;WIZ;MLLT1;LMF2;USP19;PPM1G;REPIN1;DCAF15;FZR1;NCLN;MTA1;POLD1;EIF4H;RALY;FBRS;ATP13A1;FBXL19;SGTA;CDK11B;CLCN7;PFKL;MCM3AP;CARM1;EIF3G;RBM42;EIF3C,ARCHS4_TFs_Coexp
ZBTB45 human tf ARCHS4 coexpression,198/299,9.889547796674763e-76,1.7049580401467295e-73,0,0,9.25056546293236,1597.618803247097,SMARCB1;RNH1;FAM89B;KEAP1;ELK1;RRP9;RPS6KA4;RAVER1;KAT5;PSMD3;AP1S1;ARL6IP4;VPS18;MAP1S;DAPK3;GTPBP6;AP1B1;SCRIB;MFSD10;RNF126;ARMC5;ARMC6;GRWD1;CDC37;PRR12;AURKAIP1;DUS3L;TELO2;PPP1R35;TWF2;TRMT2A;MRPL12;C7ORF50;RHOT2;PPP4C;DHX34;KCNN4;RBM10;PRELID1;INTS1;IRF2BP1;C20ORF27;FARSA;SLC2A4RG;CDK16;ARF1;GPAA1;CCDC124;CLTA;MED16;MRPL41;FASTK;CHMP1A;TSPO;NELFB;EMD;CLUH;PRMT1;MRPS2;NME4;JOSD2;MLF2;NCOR2;MED25;RPUSD1;ATP6V0C;SF3B4;ZNF593;SZRD1;TOMM40;TP53I13;AP5Z1;MRPS34;TMEM160;WDR24;CENPB;RELA;PES1;HSF1;SCAND1;RABAC1;EGLN2;SF3A2;WDR18;NR1H2;TMUB1;DOHH;SCAF1;RAB11B;SPSB3;XAB2;BOP1;C6ORF47;SHKBP1;SGSM3;PRPF31;PNPLA6;ARHGDIA;CFL1;PIM3;CAPN1;LZTS2;FBXW5;USP5;CYBA;ATAD3A;TUFM;RAB35;ERF;SLC27A4;ANAPC2;RAB5C;MAZ;ABHD8;HSPBP1;CORO1B;TMEM121;RAI1;KLC2;DPP7;SHARPIN;AMDHD2;NACC1;TMEM129;ZNF787;CYC1;ISOC2;SLC52A2;TRAPPC5;LSM4;CHERP;DRAP1;LRFN4;REEP4;GNB2;CNOT3;PIN1;ZNF777;COPE;UBE2M;ZC3H3;PTPN23;PPP1R9B;MRPL4;PTBP1;SART1;TMEM102;PPP6R1;SIX5;NAPRT;MFSD3;ZNF768;HMG20B;DGCR2;SCYL1;RBM14;REXO1;DDX54;KLF16;TRAF7;EEF1D;PPDPF;CPTP;AKT1S1;THOP1;PPP1R12C;TRABD;VAC14;TSSC4;RAB1B;USP19;DCAF15;FZR1;NCLN;VPS51;PUF60;CCDC85B;POLD2;EIF4H;POLR2E;RALY;ZNF865;E2F4;CCDC71;B3GAT3;ATP13A1;FBXL19;ADRM1;SGTA;PML;SPATA2L;CLCN7;PFKL;RPS6KB2;EIF3G;RBM42;STUB1;TRMT61A,ARCHS4_TFs_Coexp
ZNF598 human tf ARCHS4 coexpression,198/299,9.889547796674763e-76,1.7049580401467295e-73,0,0,9.25056546293236,1597.618803247097,HDAC10;ZDHHC8;RPL8;NOC2L;ELK1;CAPN15;FGFRL1;RPS6KA4;RAVER1;TRIM28;PSMD3;AKT1;PIEZO1;DDX11;GTPBP6;AP1B1;SCRIB;ACTN4;SND1;HCFC1;RNF126;CDC37;TTLL12;RPL29;PRR12;RPL28;TELO2;RABL6;SF1;POM121;TBC1D9B;SRCAP;TRMT2A;RHOT2;DHX37;PRR22;CDT1;INTS1;IRF2BP1;PRRC2A;HNRNPL;DUS1L;SLC2A4RG;CDK16;OGFR;DAZAP1;MED15;SMG5;RPTOR;SMPD4;NELFB;CIC;EMD;UPF1;BRD2;SREBF1;LRRC45;CLUH;SREBF2;NCOR2;GAK;INF2;RPUSD1;INCENP;SZRD1;TOMM40;PKN3;DOT1L;SRRT;SLC7A1;CENPB;RECQL4;HIRA;PES1;HSF1;ANKRD52;RPS2;MBD3;SF3A1;SF3A2;AP3D1;KIAA2013;SCAF1;GATAD2A;XAB2;BOP1;MYBBP1A;TAOK2;NUP188;IPO4;STK11;KHSRP;ARHGDIA;LZTS2;MEN1;ATAD3B;ATAD3A;RNF40;ILF3;RAB35;ERF;SLC27A4;ANAPC2;INO80E;MAZ;KMT2B;KLHL17;PKMYT1;NOP9;BAG6;RAI1;SBNO2;NDOR1;IRAK1;NACC1;DVL1;ZNF787;BCL9L;NOP14;PPAN-P2RY11;CPSF1;SLC52A2;CHERP;LRFN4;UBE2S;GNB2;CNOT3;MAFK;UBA1;ZNF777;TCF3;UBE2M;EIF4G1;ZNF512B;KDM5C;ZMYND19;PRKCSH;PTPN23;CHTF18;LMNB2;PPP1R9B;PTBP1;SART1;ZC3H7B;PPP6R1;SNAPC4;CEP170B;ZNF768;WDR5;UBTF;MYBL2;POLE;PELP1;SCYL1;REXO1;CAD;AXIN1;DDX54;RANGAP1;KLF16;ARFGAP1;TRAF7;SAPCD2;EEF1D;AKT1S1;SLC25A10;THOP1;PPP1R12C;MCM2;GTF3C1;TRABD;SMARCD2;SRF;WIZ;LMF2;USP19;REPIN1;DCAF15;FZR1;NCLN;MTA1;TAF1C;POLD1;E2F1;ZNF865;E2F4;FBRS;PPP1R14B;ATP13A1;FBXL19;USF2;CLCN7;PFKL;CARM1;EIF3G;RBM42;STUB1;TRMT61A,ARCHS4_TFs_Coexp
E4F1 human tf ARCHS4 coexpression,196/299,8.204271945810774e-74,1.2858331667797976e-71,0,0,8.973003117949759,1510.0365624236638,HDAC10;TONSL;NOC2L;CAPN15;RPS6KA4;RAVER1;TRIM28;OGFOD2;PSMD3;AKT1;PIEZO1;DDX11;DAPK3;GTPBP6;PTOV1;SCRIB;MFSD10;RNF126;WDR81;CDC37;ULK1;PRR12;DUS3L;TRIM11;TELO2;RABL6;SF1;FBF1;TRMT2A;CRACR2B;DHX34;DHX37;TSPAN4;ZBTB7B;PRR22;RHBDL1;RTEL1-TNFRSF6B;INTS1;NCAPH2;XRCC3;IRF2BP1;PRRC2A;HNRNPL;ATG2A;DUS1L;SLC2A4RG;FBXL6;OGFR;DAZAP1;MED15;SMG5;GLI4;SMPD4;FASTK;NELFB;IKBKG;CIC;UPF1;BRD2;SREBF1;LRRC45;DBNL;CLUH;GAK;MED25;KIFC2;PITPNM1;RPUSD1;CACTIN;ZNF598;LRRC14;SZRD1;TP53I13;CTDP1;AP5Z1;DOT1L;SRRT;CENPB;RECQL4;PES1;HSF1;BRD9;ANKRD52;MBD3;EGLN2;SF3A2;TMUB1;MYO9B;SCAF1;XAB2;BOP1;MYBBP1A;SGSM3;TAOK2;ZNF335;STK11;EME2;ARHGDIA;LZTS2;FBXW5;PPP1R16A;CEP131;ATAD3B;ATAD3A;RNF40;ACAP3;DGKQ;RAB35;ERF;ANAPC2;INO80E;MAZ;KMT2B;KLHL17;CORO1B;NOP9;BAG6;SBNO2;NDOR1;DPP7;AMDHD2;NACC1;DVL1;ZNF787;PPAN-P2RY11;CPSF1;TNK2;CHERP;LRFN4;GNB2;CNOT3;TUBGCP6;MAFK;SKIV2L;LRCH4;MXD4;ZNF512B;KDM5C;PRKCSH;ZC3H3;PTPN23;CHTF18;PPP1R9B;CABIN1;PTBP1;PIDD1;SART1;SIN3B;PPP6R1;PPP6R2;SNAPC4;ZNF768;ZNF646;SCYL1;RBM14;REXO1;AXIN1;DDX54;KLF16;ARFGAP1;GIGYF1;TRAF7;EEF1D;SLC25A10;THOP1;PPP1R12C;TRABD;SMARCD2;CXXC1;LMF2;USP19;MROH1;DCAF15;FZR1;NCLN;MTA1;TAF1C;U2AF2;POLD1;ZNF865;FBRS;SH2B1;ATP13A1;FBXL19;SGTA;HIP1R;CYHR1;USF2;SPATA2L;CLCN7;PFKL;ABHD17A;EIF3G;RBM42;TRMT61A;SSBP4,ARCHS4_TFs_Coexp
